time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-13 00:00:00+00:00,17,14,57.0,1.0
2025-11-14 00:00:00+00:00,4,4,,
2025-11-15 00:00:00+00:00,4,4,,
2025-11-16 00:00:00+00:00,3,3,,
2025-11-17 00:00:00+00:00,2,2,,
2025-11-18 00:00:00+00:00,5,5,,
2025-11-19 00:00:00+00:00,3,3,,
2025-11-20 00:00:00+00:00,4,4,,
2025-11-21 00:00:00+00:00,4,4,,
2025-11-22 00:00:00+00:00,2,2,,
2025-11-23 00:00:00+00:00,2,2,,
2025-11-24 00:00:00+00:00,4,4,,
2025-11-25 00:00:00+00:00,2,2,,
2025-11-26 00:00:00+00:00,1,1,,
